medstat_id,medstat_name,n_municipalities,municipalities,any_ambiguous
SO20,Weissenstein,9,Balm bei Günsberg; Feldbrunnen-St. Niklaus; Flumenthal; Hubersdorf; Kammersrohr; Langendorf; Oberdorf (SO); Rüttenen; Riedholz,TRUE
SO21,NA,NA,NA,NA
SO22,Solothurn-Ost,4,Deitingen; Derendingen; Luterbach; Subingen,TRUE
SO23,Derendingen-Gerlafingen,4,Gerlafingen; Kriegstetten; Obergerlafingen; Zielebach,TRUE
SO24,Wasseramt,6,Bolken; Drei Höfe; Etziken; Hüniken; Horriwil; Recherswil,FALSE
SO25,Biberist,1,Lohn-Ammannsegg,FALSE
SZ01,Küssnacht,1,Küssnacht (SZ),FALSE
SZ02,Arth-Goldau,2,Arth; Gersau,TRUE
SZ03,Lauerz-Sattel,4,Lauerz; Sattel; Steinen; Steinerberg,TRUE
SZ04,Schwyz,2,Ingenbohl; Schwyz,TRUE
SZ05,Muotathal,4,Illgau; Morschach; Muotathal; Unterschächen,TRUE
SZ06,NA,NA,NA,NA
SZ07,Rotenthurm,2,Oberägeri; Rothenthurm,TRUE
SZ08,Einsiedeln-Alpthal,1,Alpthal,FALSE
SZ09,Iberg,4,Altendorf; Einsiedeln; Oberiberg; Unteriberg,TRUE
SZ10,Wägital,2,Innerthal; Vorderthal,FALSE
SZ11,Pfäffikon-Vorderhof,1,Feusisberg,TRUE
SZ12,Wollerau-Hinterhof,2,Freienbach; Wollerau,TRUE
SZ13,Lachen,2,Galgenen; Lachen,TRUE
SZ14,Wangen-Siebnen,2,Schübelbach; Wangen (SZ),TRUE
SZ15,Tuggen-Reichenburg,1,Reichenburg,FALSE
TG01,Thurgauer Oberland,3,Bichelsee-Balterswil; Eschlikon; Fischingen,TRUE
TG02,Sirnach,3,Rickenbach (TG); Sirnach; Wilen (TG),TRUE
TG03,Wiler Thurgau,6,Affeltrangen; Bettwiesen; Braunau; Lommis; Tobel-Tägerschen; Wuppenau,TRUE
TG04,Münchwilen-Wängi,2,Münchwilen (TG); Wängi,TRUE
TG05,Aadorf-Matzingen,4,Aadorf; Frauenfeld; Matzingen; Stettfurt,TRUE
TG06,Frauenfeld,4,Felben-Wellhausen; Gachnang; Hagenbuch; Thundorf,TRUE
